County,Food Bank,Address,Phone,Website
Titus,East Texas Food Bank,"3223 Robertson Rd., Tyler, TX 75711  ",(903) 597-3685,www.easttexasfoodbank.org
Upshur,East Texas Food Bank,"3224 Robertson Rd., Tyler, TX 75711  ",(903) 597-3686,www.easttexasfoodbank.org
Van Zandt,East Texas Food Bank,"3225 Robertson Rd., Tyler, TX 75711  ",(903) 597-3687,www.easttexasfoodbank.org
Wood,East Texas Food Bank,"3226 Robertson Rd., Tyler, TX 75711  ",(903) 597-3688,www.easttexasfoodbank.org
Culberson,El Pasoans Fighting Hunger,"9539 Plaza Circle Drive, El Paso, TX 79937  ",(915) 298-0353  ,www.elpasoansfightinghunger.org
El Paso,El Pasoans Fighting Hunger,"9540 Plaza Circle Drive, El Paso, TX 79937  ",(915) 298-0354,www.elpasoansfightinghunger.org
Hudspeth,El Pasoans Fighting Hunger,"9541 Plaza Circle Drive, El Paso, TX 79937  ",(915) 298-0355,www.elpasoansfightinghunger.org
Aransas,Food Bank of Corpus Christi,"826 Krill St., Corpus Christi, TX 78408  ",(361) 887-6291  ,www.foodbankcc.com
Bee,Food Bank of Corpus Christi,"827 Krill St., Corpus Christi, TX 78408  ",(361) 887-6292,www.foodbankcc.com
Brooks,Food Bank of Corpus Christi,"828 Krill St., Corpus Christi, TX 78408  ",(361) 887-6293,www.foodbankcc.com
Duval,Food Bank of Corpus Christi,"829 Krill St., Corpus Christi, TX 78408  ",(361) 887-6294,www.foodbankcc.com
Jim Wells,Food Bank of Corpus Christi,"830 Krill St., Corpus Christi, TX 78408  ",(361) 887-6295,www.foodbankcc.com
Kenedy,Food Bank of Corpus Christi,"831 Krill St., Corpus Christi, TX 78408  ",(361) 887-6296,www.foodbankcc.com
Kleberg,Food Bank of Corpus Christi,"832 Krill St., Corpus Christi, TX 78408  ",(361) 887-6297,www.foodbankcc.com
Live Oak,Food Bank of Corpus Christi,"833 Krill St., Corpus Christi, TX 78408  ",(361) 887-6298,www.foodbankcc.com
McMullen,Food Bank of Corpus Christi,"834 Krill St., Corpus Christi, TX 78408  ",(361) 887-6299,www.foodbankcc.com
Nueces,Food Bank of Corpus Christi,"835 Krill St., Corpus Christi, TX 78408  ",(361) 887-6300,www.foodbankcc.com
San Patricio,Food Bank of Corpus Christi,"836 Krill St., Corpus Christi, TX 78408  ",(361) 887-6301,www.foodbankcc.com
Calhoun                         ,Food Bank of the Golden Crescent,"38009 E. Rio Grande, Victoria, TX 77903  ",(361) 578-0591  ,www.victoriafoodbank.org
Colorado                    ,Food Bank of the Golden Crescent,"38010 E. Rio Grande, Victoria, TX 77903  ",(361) 578-0592,www.victoriafoodbank.org
Dewitt                          ,Food Bank of the Golden Crescent,"38011 E. Rio Grande, Victoria, TX 77903  ",(361) 578-0593,www.victoriafoodbank.org
Goliad                          ,Food Bank of the Golden Crescent,"38012 E. Rio Grande, Victoria, TX 77903  ",(361) 578-0594,www.victoriafoodbank.org
Gonzales                       ,Food Bank of the Golden Crescent,"38013 E. Rio Grande, Victoria, TX 77903  ",(361) 578-0595,www.victoriafoodbank.org
Jackson                          ,Food Bank of the Golden Crescent,"38014 E. Rio Grande, Victoria, TX 77903  ",(361) 578-0596,www.victoriafoodbank.org
Lavaca                       ,Food Bank of the Golden Crescent,"38015 E. Rio Grande, Victoria, TX 77903  ",(361) 578-0597,www.victoriafoodbank.org
Matagorda                      ,Food Bank of the Golden Crescent,"38016 E. Rio Grande, Victoria, TX 77903  ",(361) 578-0598,www.victoriafoodbank.org
Refugio                           ,Food Bank of the Golden Crescent,"38017 E. Rio Grande, Victoria, TX 77903  ",(361) 578-0599,www.victoriafoodbank.org
Victoria                       ,Food Bank of the Golden Crescent,"38018 E. Rio Grande, Victoria, TX 77903  ",(361) 578-0600,www.victoriafoodbank.org
Wharton                           ,Food Bank of the Golden Crescent,"38019 E. Rio Grande, Victoria, TX 77903  ",(361) 578-0601,www.victoriafoodbank.org
Cameron,Food Bank of the Rio Grande Valley,"724 North Cage Blvd., Pharr, Texas 78577",956-682-8101,www.foodbankrgv.com
Hidalgo,Food Bank of the Rio Grande Valley,"725 North Cage Blvd., Pharr, Texas 78577",956-682-8102,www.foodbankrgv.com
Willacy,Food Bank of the Rio Grande Valley,"726 North Cage Blvd., Pharr, Texas 78577",956-682-8103,www.foodbankrgv.com
Brown,Food Bank of West Central Texas,"5505 N. First, Abilene, TX 79603   ",(325) 695-6311  ,www.fbwct.org
Callahan,Food Bank of West Central Texas,"5506 N. First, Abilene, TX 79603   ",(325) 695-6312,www.fbwct.org
Coleman,Food Bank of West Central Texas,"5507 N. First, Abilene, TX 79603   ",(325) 695-6313,www.fbwct.org
Comanche,Food Bank of West Central Texas,"5508 N. First, Abilene, TX 79603   ",(325) 695-6314,www.fbwct.org
Eastland,Food Bank of West Central Texas,"5509 N. First, Abilene, TX 79603   ",(325) 695-6315,www.fbwct.org
Fisher,Food Bank of West Central Texas,"5510 N. First, Abilene, TX 79603   ",(325) 695-6316,www.fbwct.org
Jones,Food Bank of West Central Texas,"5511 N. First, Abilene, TX 79603   ",(325) 695-6317,www.fbwct.org
Mitchell,Food Bank of West Central Texas,"5512 N. First, Abilene, TX 79603   ",(325) 695-6318,www.fbwct.org
Nolan,Food Bank of West Central Texas,"5513 N. First, Abilene, TX 79603   ",(325) 695-6319,www.fbwct.org
Runnels,Food Bank of West Central Texas,"5514 N. First, Abilene, TX 79603   ",(325) 695-6320,www.fbwct.org
Shackelford,Food Bank of West Central Texas,"5515 N. First, Abilene, TX 79603   ",(325) 695-6321,www.fbwct.org
Stephens,Food Bank of West Central Texas,"5516 N. First, Abilene, TX 79603   ",(325) 695-6322,www.fbwct.org
Taylor,Food Bank of West Central Texas,"5517 N. First, Abilene, TX 79603   ",(325) 695-6323,www.fbwct.org
Galveston,Galveston County Food Bank,"624 4th Avenue N., Texas City, Texas 77590  ",(409) 945-4232  ,www.galvestoncountyfoodbank.org
Armstrong,High Plains Food Bank,"815 S. Ross, Amarillo, TX 79120  ",(806) 374-8562  ,www.hpfb.org
Briscoe,High Plains Food Bank,"816 S. Ross, Amarillo, TX 79120  ",(806) 374-8563,www.hpfb.org
Carson,High Plains Food Bank,"817 S. Ross, Amarillo, TX 79120  ",(806) 374-8564,www.hpfb.org
Castro,High Plains Food Bank,"818 S. Ross, Amarillo, TX 79120  ",(806) 374-8565,www.hpfb.org
Childress,High Plains Food Bank,"819 S. Ross, Amarillo, TX 79120  ",(806) 374-8566,www.hpfb.org
Collingsworth,High Plains Food Bank,"820 S. Ross, Amarillo, TX 79120  ",(806) 374-8567,www.hpfb.org
Cottle,High Plains Food Bank,"821 S. Ross, Amarillo, TX 79120  ",(806) 374-8568,www.hpfb.org
Dallam,High Plains Food Bank,"822 S. Ross, Amarillo, TX 79120  ",(806) 374-8569,www.hpfb.org
Deaf Smith,High Plains Food Bank,"823 S. Ross, Amarillo, TX 79120  ",(806) 374-8570,www.hpfb.org
Donley,High Plains Food Bank,"824 S. Ross, Amarillo, TX 79120  ",(806) 374-8571,www.hpfb.org
Gray,High Plains Food Bank,"825 S. Ross, Amarillo, TX 79120  ",(806) 374-8572,www.hpfb.org
Hale,High Plains Food Bank,"826 S. Ross, Amarillo, TX 79120  ",(806) 374-8573,www.hpfb.org
Hall,High Plains Food Bank,"827 S. Ross, Amarillo, TX 79120  ",(806) 374-8574,www.hpfb.org
Hansford,High Plains Food Bank,"828 S. Ross, Amarillo, TX 79120  ",(806) 374-8575,www.hpfb.org
Hardeman,High Plains Food Bank,"829 S. Ross, Amarillo, TX 79120  ",(806) 374-8576,www.hpfb.org
Hartley,High Plains Food Bank,"830 S. Ross, Amarillo, TX 79120  ",(806) 374-8577,www.hpfb.org
Hemphill,High Plains Food Bank,"831 S. Ross, Amarillo, TX 79120  ",(806) 374-8578,www.hpfb.org
Hutchinson,High Plains Food Bank,"832 S. Ross, Amarillo, TX 79120  ",(806) 374-8579,www.hpfb.org
Lipscomb,High Plains Food Bank,"833 S. Ross, Amarillo, TX 79120  ",(806) 374-8580,www.hpfb.org
Moore,High Plains Food Bank,"834 S. Ross, Amarillo, TX 79120  ",(806) 374-8581,www.hpfb.org
Ochiltree,High Plains Food Bank,"835 S. Ross, Amarillo, TX 79120  ",(806) 374-8582,www.hpfb.org
Oldham,High Plains Food Bank,"836 S. Ross, Amarillo, TX 79120  ",(806) 374-8583,www.hpfb.org
Parmer,High Plains Food Bank,"837 S. Ross, Amarillo, TX 79120  ",(806) 374-8584,www.hpfb.org
Potter,High Plains Food Bank,"838 S. Ross, Amarillo, TX 79120  ",(806) 374-8585,www.hpfb.org
Randall,High Plains Food Bank,"839 S. Ross, Amarillo, TX 79120  ",(806) 374-8586,www.hpfb.org
Roberts,High Plains Food Bank,"840 S. Ross, Amarillo, TX 79120  ",(806) 374-8587,www.hpfb.org
Sherman,High Plains Food Bank,"841 S. Ross, Amarillo, TX 79120  ",(806) 374-8588,www.hpfb.org
Swisher,High Plains Food Bank,"842 S. Ross, Amarillo, TX 79120  ",(806) 374-8589,www.hpfb.org
Wheeler,High Plains Food Bank,"843 S. Ross, Amarillo, TX 79120  ",(806) 374-8590,www.hpfb.org
Austin,Houston Food Bank,"535 Portwall Street, Houston, TX 77029  ",(713) 547-8602  ,www.houstonfoodbank.org
Brazoria,Houston Food Bank,"536 Portwall Street, Houston, TX 77029  ",(713) 547-8603,www.houstonfoodbank.org
Chambers,Houston Food Bank,"537 Portwall Street, Houston, TX 77029  ",(713) 547-8604,www.houstonfoodbank.org
Fort Bend,Houston Food Bank,"538 Portwall Street, Houston, TX 77029  ",(713) 547-8605,www.houstonfoodbank.org
Harris,Houston Food Bank,"539 Portwall Street, Houston, TX 77029  ",(713) 547-8606,www.houstonfoodbank.org
Liberty,Houston Food Bank,"540 Portwall Street, Houston, TX 77029  ",(713) 547-8607,www.houstonfoodbank.org
San Jacinto,Houston Food Bank,"541 Portwall Street, Houston, TX 77029  ",(713) 547-8608,www.houstonfoodbank.org
Trinity,Houston Food Bank,"542 Portwall Street, Houston, TX 77029  ",(713) 547-8609,www.houstonfoodbank.org
Walker,Houston Food Bank,"543 Portwall Street, Houston, TX 77029  ",(713) 547-8610,www.houstonfoodbank.org
Waller,Houston Food Bank,"544 Portwall Street, Houston, TX 77029  ",(713) 547-8611,www.houstonfoodbank.org
Montgomery,Montgomery County Food Bank,"111 S. 2nd Street, Conroe, TX  77301  ",(936) 539-6686   ,www.mcfoodbank.org 
Collin,North Texas Food Bank,"4500 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1396  ,www.ntfb.org
Dallas,North Texas Food Bank,"4501 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1397,www.ntfb.org
Delta,North Texas Food Bank,"4502 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1398,www.ntfb.org
Denton,North Texas Food Bank,"4503 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1399,www.ntfb.org
Ellis,North Texas Food Bank,"4504 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1400,www.ntfb.org
Fannin,North Texas Food Bank,"4505 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1401,www.ntfb.org
Grayson,North Texas Food Bank,"4506 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1402,www.ntfb.org
Hopkins,North Texas Food Bank,"4507 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1403,www.ntfb.org
Hunt,North Texas Food Bank,"4508 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1404,www.ntfb.org
Kaufman,North Texas Food Bank,"4509 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1405,www.ntfb.org
Lamar,North Texas Food Bank,"4510 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1406,www.ntfb.org
Navarro,North Texas Food Bank,"4511 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1407,www.ntfb.org
Rockwall,North Texas Food Bank,"4512 Cockrell Hill, Dallas, TX 75236  ",(214) 330-1408,www.ntfb.org
Atascosa,San Antonio Food Bank,"5200 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3663  ,www.safoodbank.org
Bandera,San Antonio Food Bank,"5201 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3664,www.safoodbank.org
Bexar,San Antonio Food Bank,"5202 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3665,www.safoodbank.org
Comal,San Antonio Food Bank,"5203 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3666,www.safoodbank.org
Edwards,San Antonio Food Bank,"5204 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3667,www.safoodbank.org
Frio,San Antonio Food Bank,"5205 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3668,www.safoodbank.org
Guadalupe,San Antonio Food Bank,"5206 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3669,www.safoodbank.org
Karnes,San Antonio Food Bank,"5207 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3670,www.safoodbank.org
Kendall,San Antonio Food Bank,"5208 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3671,www.safoodbank.org
Kerr,San Antonio Food Bank,"5209 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3672,www.safoodbank.org
La Salle,San Antonio Food Bank,"5210 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3673,www.safoodbank.org
Medina,San Antonio Food Bank,"5211 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3674,www.safoodbank.org
Real,San Antonio Food Bank,"5212 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3675,www.safoodbank.org
Uvalde,San Antonio Food Bank,"5213 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3676,www.safoodbank.org
Wilson,San Antonio Food Bank,"5214 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3677,www.safoodbank.org
Zavala,San Antonio Food Bank,"5215 Old Highway 90 West, San Antonio, TX 78227  ",(210) 337-3678,www.safoodbank.org
Bailey,South Plains Food Bank,"4612 Locust Ave., Lubbock, TX 79404  ",(806) 763-3003  ,www.spfb.org
Cochran,South Plains Food Bank,"4613 Locust Ave., Lubbock, TX 79404  ",(806) 763-3004,www.spfb.org
Crosby,South Plains Food Bank,"4614 Locust Ave., Lubbock, TX 79404  ",(806) 763-3005,www.spfb.org
Dawson,South Plains Food Bank,"4615 Locust Ave., Lubbock, TX 79404  ",(806) 763-3006,www.spfb.org
Dickens,South Plains Food Bank,"4616 Locust Ave., Lubbock, TX 79404  ",(806) 763-3007,www.spfb.org
Floyd,South Plains Food Bank,"4617 Locust Ave., Lubbock, TX 79404  ",(806) 763-3008,www.spfb.org
Gaines,South Plains Food Bank,"4618 Locust Ave., Lubbock, TX 79404  ",(806) 763-3009,www.spfb.org
Garza,South Plains Food Bank,"4619 Locust Ave., Lubbock, TX 79404  ",(806) 763-3010,www.spfb.org
Hale,South Plains Food Bank,"4620 Locust Ave., Lubbock, TX 79404  ",(806) 763-3011,www.spfb.org
Hockley,South Plains Food Bank,"4621 Locust Ave., Lubbock, TX 79404  ",(806) 763-3012,www.spfb.org
Kent,South Plains Food Bank,"4622 Locust Ave., Lubbock, TX 79404  ",(806) 763-3013,www.spfb.org
King,South Plains Food Bank,"4623 Locust Ave., Lubbock, TX 79404  ",(806) 763-3014,www.spfb.org
Lamb,South Plains Food Bank,"4624 Locust Ave., Lubbock, TX 79404  ",(806) 763-3015,www.spfb.org
Lubbock,South Plains Food Bank,"4625 Locust Ave., Lubbock, TX 79404  ",(806) 763-3016,www.spfb.org
Lynn,South Plains Food Bank,"4626 Locust Ave., Lubbock, TX 79404  ",(806) 763-3017,www.spfb.org
Motley,South Plains Food Bank,"4627 Locust Ave., Lubbock, TX 79404  ",(806) 763-3018,www.spfb.org
Scurry,South Plains Food Bank,"4628 Locust Ave., Lubbock, TX 79404  ",(806) 763-3019,www.spfb.org
Stonewall,South Plains Food Bank,"4629 Locust Ave., Lubbock, TX 79404  ",(806) 763-3020,www.spfb.org
Terry,South Plains Food Bank,"4630 Locust Ave., Lubbock, TX 79404  ",(806) 763-3021,www.spfb.org
Yoakum,South Plains Food Bank,"4631 Locust Ave., Lubbock, TX 79404  ",(806) 763-3022,www.spfb.org
Dimmit                               ,South Texas Food Bank,"1907 Freight St., Laredo, TX 78041  ",(956) 726-3120  ,www.southtexasfoodbank.org
Jim Hogg,South Texas Food Bank,"1908 Freight St., Laredo, TX 78041  ",(956) 726-3121,www.southtexasfoodbank.org
Kinney                                ,South Texas Food Bank,"1909 Freight St., Laredo, TX 78041  ",(956) 726-3122,www.southtexasfoodbank.org
Maverick                  ,South Texas Food Bank,"1910 Freight St., Laredo, TX 78041  ",(956) 726-3123,www.southtexasfoodbank.org
Starr,South Texas Food Bank,"1911 Freight St., Laredo, TX 78041  ",(956) 726-3124,www.southtexasfoodbank.org
Val Verde               ,South Texas Food Bank,"1912 Freight St., Laredo, TX 78041  ",(956) 726-3125,www.southtexasfoodbank.org
Webb                  ,South Texas Food Bank,"1913 Freight St., Laredo, TX 78041  ",(956) 726-3126,www.southtexasfoodbank.org
Zapata,South Texas Food Bank,"1914 Freight St., Laredo, TX 78041  ",(956) 726-3127,www.southtexasfoodbank.org
Hardin,Southeast Texas Food Bank,"3845 MLK Blvd., Beaumont, TX 77705  ",(409) 839-8777  ,www.setxfoodbank.org
Jasper,Southeast Texas Food Bank,"3846 MLK Blvd., Beaumont, TX 77705  ",(409) 839-8778,www.setxfoodbank.org
Jefferson,Southeast Texas Food Bank,"3847 MLK Blvd., Beaumont, TX 77705  ",(409) 839-8779,www.setxfoodbank.org
Newton,Southeast Texas Food Bank,"3848 MLK Blvd., Beaumont, TX 77705  ",(409) 839-8780,www.setxfoodbank.org
Orange,Southeast Texas Food Bank,"3849 MLK Blvd., Beaumont, TX 77705  ",(409) 839-8781,www.setxfoodbank.org
Polk,Southeast Texas Food Bank,"3850 MLK Blvd., Beaumont, TX 77705  ",(409) 839-8782,www.setxfoodbank.org
Sabine,Southeast Texas Food Bank,"3851 MLK Blvd., Beaumont, TX 77705  ",(409) 839-8783,www.setxfoodbank.org
Tyler,Southeast Texas Food Bank,"3852 MLK Blvd., Beaumont, TX 77705  ",(409) 839-8784,www.setxfoodbank.org
Bosque    ,Tarrant Area Food Bank,"2600 Cullen, Ft. Worth, TX 76107  ",(817) 332-9177  ,www.tafb.org
Cooke       ,Tarrant Area Food Bank,"2601 Cullen, Ft. Worth, TX 76107  ",(817) 332-9178,www.tafb.org
Denton,Tarrant Area Food Bank,"2602 Cullen, Ft. Worth, TX 76107  ",(817) 332-9179,www.tafb.org
Erath       ,Tarrant Area Food Bank,"2603 Cullen, Ft. Worth, TX 76107  ",(817) 332-9180,www.tafb.org
Hamilton,Tarrant Area Food Bank,"2604 Cullen, Ft. Worth, TX 76107  ",(817) 332-9181,www.tafb.org
Hill   ,Tarrant Area Food Bank,"2605 Cullen, Ft. Worth, TX 76107  ",(817) 332-9182,www.tafb.org
Hood      ,Tarrant Area Food Bank,"2606 Cullen, Ft. Worth, TX 76107  ",(817) 332-9183,www.tafb.org
Johnson ,Tarrant Area Food Bank,"2607 Cullen, Ft. Worth, TX 76107  ",(817) 332-9184,www.tafb.org
Palo Pinto,Tarrant Area Food Bank,"2608 Cullen, Ft. Worth, TX 76107  ",(817) 332-9185,www.tafb.org
Parker,Tarrant Area Food Bank,"2609 Cullen, Ft. Worth, TX 76107  ",(817) 332-9186,www.tafb.org
Somervell    ,Tarrant Area Food Bank,"2610 Cullen, Ft. Worth, TX 76107  ",(817) 332-9187,www.tafb.org
Tarrant    ,Tarrant Area Food Bank,"2611 Cullen, Ft. Worth, TX 76107  ",(817) 332-9188,www.tafb.org
Wise,Tarrant Area Food Bank,"2612 Cullen, Ft. Worth, TX 76107  ",(817) 332-9189,www.tafb.org
Andrews,West Texas Food Bank,"1008 E. 2nd St., Odessa, TX 79760  ",(432) 580-6333  ,www.wtxfoodbank.org 
